ID,ServiceName,ServiceType,Suburb,Postcode,Size,OverallRating,Long Day Care,Preschool/Kinder - Part of a School,Preschool/Kinder - Standalone,After School Care,Before School Care,Vacation Care,Temporarily Closed,Cost Per Day
75,Mansfield Street Kindergarten,Centre-Based Care,BERWICK,3806,30,Exceeding NQS,No,No,Yes,No,No,No,No,94
76,Chalcot Lodge Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,30,Meeting NQS,No,No,Yes,No,No,No,No,192
77,David Collins Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,30,Exceeding NQS,No,No,Yes,No,No,No,No,62
78,Hartley Ridge Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,33,Exceeding NQS,No,No,Yes,No,No,No,No,180
79,Allara Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,30,Exceeding NQS,No,No,Yes,No,No,No,No,70
80,Fleetwood Kindergarten,Centre-Based Care,NARRE WARREN,3805,30,Exceeding NQS,No,No,Yes,No,No,No,No,158
81,Narre Kids Early Learning & Kinder,Centre-Based Care,NARRE WARREN,3805,58,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No,67
82,Brentwood Park Berwick Kindergarten,Centre-Based Care,BERWICK,3806,30,Exceeding NQS,No,No,Yes,No,No,No,No,65
83,Maramba Kindergarten,Centre-Based Care,NARRE WARREN,3805,52,Exceeding NQS,No,No,Yes,No,No,No,No,131
84,Talbingo Kindergarten,Centre-Based Care,NARRE WARREN,3805,30,Exceeding NQS,No,No,Yes,No,No,No,No,179
85,Reema Kindergarten,Centre-Based Care,ENDEAVOUR HILLS,3802,27,Exceeding NQS,No,No,Yes,No,No,No,No,113
86,Oatlands Kindergarten,Centre-Based Care,NARRE WARREN,3805,55,Exceeding NQS,No,No,Yes,No,No,No,No,65
87,Hallam Gardens Kindergarten,Centre-Based Care,HALLAM,3803,33,Exceeding NQS,No,No,Yes,No,No,No,No,73
88,Only About Children Berwick,Centre-Based Care,BERWICK,3806,54,Meeting NQS,Yes,No,No,No,No,No,No,158
89,Berwick Twinkle Star Early Learning Centre,Centre-Based Care,BERWICK,3806,60,Meeting NQS,Yes,No,No,No,No,No,No,197
90,Narre Warren Early Learning Centre,Centre-Based Care,NARRE WARREN,3805,33,Meeting NQS,Yes,No,No,No,No,No,No,190
91,St Margaret's School Pre-prep,Centre-Based Care,BERWICK,3806,89,Exceeding NQS,No,Yes,No,No,No,No,No,164
92,Haileybury Berwick College,Centre-Based Care,BERWICK,3806,110,Exceeding NQS,No,Yes,No,No,No,No,No,163
93,Beaconsfield Kindergarten,Centre-Based Care,BEACONSFIELD,3807,29,Exceeding NQS,No,No,Yes,No,No,No,No,101
94,Gembrook Preschool,Centre-Based Care,GEMBROOK,3783,33,Meeting NQS,No,No,Yes,No,No,No,No,140
95,Nar Nar Goon Kindergarten,Centre-Based Care,NAR NAR GOON,3812,32,Exceeding NQS,No,No,Yes,No,No,No,No,179
96,Pakenham Kindergarten,Centre-Based Care,PAKENHAM,3810,33,Exceeding NQS,No,No,Yes,No,No,No,No,64
97,Bunyip Kindergarten,Centre-Based Care,BUNYIP,3815,57,Exceeding NQS,No,No,Yes,No,No,No,No,126
98,Garfield Kindergarten,Centre-Based Care,GARFIELD,3814,30,Meeting NQS,No,No,Yes,No,No,No,No,190
99,Upper Beaconsfield Kindergarten,Centre-Based Care,BEACONSFIELD UPPER,3808,30,Exceeding NQS,No,No,Yes,No,No,No,No,64
100,Cockatoo Kinder,Centre-Based Care,COCKATOO,3781,28,Meeting NQS,No,No,Yes,No,No,No,No,73
101,Upper Beaconsfield Community Early Learning Centre,Centre-Based Care,BEACONSFIELD UPPER,3808,26,Meeting NQS,Yes,No,No,No,No,No,Yes,101
102,Cockatoo Community Childcare Centre,Centre-Based Care,COCKATOO,3781,53,Meeting NQS,Yes,No,No,No,No,No,No,164
103,Little Saints Early Learning Centre,Centre-Based Care,PAKENHAM,3810,60,Meeting NQS,Yes,No,No,No,No,No,No,68
104,Officer Child Care Centre,Centre-Based Care,OFFICER,3809,120,Meeting NQS,Yes,No,No,No,No,No,No,79
105,Lang Lang Preschool,Centre-Based Care,LANG LANG,3984,30,Meeting NQS,No,No,Yes,No,No,No,No,188
106,St Peter's Anglican Kindergarten,Centre-Based Care,BOX HILL,3128,25,Meeting NQS,No,No,Yes,No,No,No,No,58
107,Woodhouse Grove Kindergarten,Centre-Based Care,BOX HILL NORTH,3129,50,Exceeding NQS,No,No,Yes,No,No,No,No,198
108,Friend Street Kindergarten,Centre-Based Care,MONT ALBERT NORTH,3129,30,Exceeding NQS,No,No,Yes,No,No,No,No,72
109,Parkside Preschool,Centre-Based Care,BOX HILL NORTH,3129,25,Exceeding NQS,No,No,Yes,No,No,No,No,178
110,Box Hill South Preschool,Centre-Based Care,BOX HILL SOUTH,3128,30,Meeting NQS,No,No,Yes,No,No,No,No,86
111,Box Hill North Primary Kindergarten,Centre-Based Care,BOX HILL NORTH,3129,50,Meeting NQS,No,Yes,No,No,No,No,No,163
112,Wattle Hill Kindergarten,Centre-Based Care,BURWOOD,3125,24,Exceeding NQS,No,No,Yes,No,No,No,No,136
113,St Scholastica's Kindergarten,Centre-Based Care,BURWOOD,3125,33,Meeting NQS,No,Yes,No,No,No,No,No,164
114,St Augustine’s Anglican Kindergarten,Centre-Based Care,MONT ALBERT NORTH,3129,50,Exceeding NQS,No,No,Yes,No,No,No,No,62
