ID,ServiceName,ServiceType,Suburb,Postcode,Size,OverallRating,Long Day Care,Preschool/Kinder - Part of a School,Preschool/Kinder - Standalone,After School Care,Before School Care,Vacation Care,Temporarily Closed,Cost Per Day
3606,Inspira Kids Early Learning Centre Shepparton,Centre-Based Care,KIALLA,3631,122,Meeting NQS,Yes,No,No,No,No,No,No,131
3607,Future Kids Child Care-West Tarneit,Centre-Based Care,TARNEIT,3029,114,Working Towards NQS,Yes,No,No,No,No,No,No,64
3608,Bellbrae Childcare And Kindergarten,Centre-Based Care,MEADOW HEIGHTS,3048,23,Working Towards NQS,Yes,No,Yes,Yes,Yes,Yes,No,72
3609,Thornhill Drive Kindergarten & Children's Centre,Centre-Based Care,KEILOR DOWNS,3038,37,Meeting NQS,No,No,Yes,No,No,No,No,93
3610,St Lawrence OSHClub,Centre-Based Care,DERRIMUT,3026,82,Meeting NQS,No,No,No,Yes,Yes,Yes,No,176
3611,Little Champs,Centre-Based Care,HOPPERS CROSSING,3029,125,Exceeding NQS,Yes,No,No,No,No,No,No,98
3612,Bambini Bluff,Centre-Based Care,HAMPTON,3188,128,Meeting NQS,Yes,No,No,No,No,No,No,176
3613,Papilio Early Learning Box Hill,Centre-Based Care,BOX HILL,3128,42,Meeting NQS,Yes,No,No,No,No,No,No,113
3614,Big Childcare - Mernda Primary School OSHC,Centre-Based Care,MERNDA,3754,180,Meeting NQS,No,No,No,Yes,Yes,Yes,No,89
3615,Green Leaves Early Learning Horsham,Centre-Based Care,HORSHAM,3400,100,Working Towards NQS,Yes,No,No,No,No,No,No,184
3616,Arena Child and Family Centre,Centre-Based Care,OFFICER,3809,66,Meeting NQS,No,No,Yes,No,No,No,No,61
3617,Guardian Childcare & Education Kew East,Centre-Based Care,KEW EAST,3102,68,Meeting NQS,Yes,No,No,No,No,No,No,93
3618,Darley Early Years Hub,Centre-Based Care,DARLEY,3340,99,Meeting NQS,No,No,Yes,No,No,No,No,169
3619,Elements Child Care and Early Learning Centre Geelong West,Centre-Based Care,GEELONG WEST,3218,137,Exceeding NQS,Yes,No,No,No,No,No,No,64
3620,Camp Australia - Strathcona Baptist Girls Junior School OSHC,Centre-Based Care,CANTERBURY,3126,15,Meeting NQS,No,No,No,Yes,Yes,No,No,140
3621,Creating Futures Children's Programs,Centre-Based Care,WALLAN,3756,96,Working Towards NQS,No,No,Yes,No,No,No,No,139
3622,Annadale Community Centre,Centre-Based Care,MICKLEHAM,3064,33,Meeting NQS,No,No,Yes,No,No,No,No,53
3623,Story House Early Learning Telford Park,Centre-Based Care,DARLEY,3340,96,Working Towards NQS,Yes,No,No,No,No,No,No,121
3624,Fleetwood OSHClub,Centre-Based Care,NARRE WARREN,3805,46,Meeting NQS,No,No,No,Yes,Yes,No,No,150
3625,Barnawartha Out Of School Hours Care,Centre-Based Care,BARNAWARTHA,3688,15,Meeting NQS,No,No,No,Yes,Yes,No,No,87
3626,Lang Park Early Learning Centre and Kindergarten,Centre-Based Care,LANGWARRIN,3910,88,Exceeding NQS,Yes,No,No,Yes,Yes,Yes,No,188
3627,Inverloch Childcare,Centre-Based Care,INVERLOCH,3996,60,Meeting NQS,Yes,No,No,No,No,No,No,77
3628,Story House Early Learning Lara,Centre-Based Care,LARA,3212,130,Working Towards NQS,Yes,No,No,No,No,No,No,146
3629,Story House Early Learning Keilor Downs,Centre-Based Care,KEILOR DOWNS,3038,122,Meeting NQS,Yes,No,No,No,No,No,No,91
3630,Buckle My Shoe Terang PTY LTD,Centre-Based Care,TERANG,3264,32,Meeting NQS,Yes,No,No,No,No,No,No,198
3631,RMIT City Campus Children's Centre,Centre-Based Care,CARLTON,3053,86,Meeting NQS,Yes,No,No,No,No,No,No,155
3632,Team Holiday - West Melbourne,Centre-Based Care,WEST MELBOURNE,3006,60,Meeting NQS,No,No,No,No,No,Yes,No,100
3633,Lilydale PS OSHC - Extend,Centre-Based Care,LILYDALE,3140,34,Exceeding NQS,No,No,No,Yes,Yes,No,No,74
3634,Camp Australia - Carlton Primary School OSHC,Centre-Based Care,"CARLTON,",3053,30,Working Towards NQS,No,No,No,Yes,No,No,No,98
3635,Kelly Club OSHC St Robert's Catholic Primary School,Centre-Based Care,NEWTOWN,3220,65,Working Towards NQS,No,No,No,Yes,Yes,No,No,194
3636,Complete Kids on Barkly,Centre-Based Care,SUNBURY,3429,122,Meeting NQS,Yes,No,No,No,No,No,No,181
3637,Future Kids Child Care-Williams Landing,Centre-Based Care,WILLIAMS LANDING,3027,106,Working Towards NQS,Yes,No,No,No,No,No,No,186
3638,Korowa Anglican Girls School OSHC - Extend,Centre-Based Care,GLEN IRIS,3146,53,Meeting NQS,No,No,No,Yes,Yes,Yes,No,77
3639,Leading Leaps PTY LTD,Centre-Based Care,TARNEIT,3029,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,125
3640,Nido Early School Grovedale,Centre-Based Care,GROVEDALE,3216,139,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No,185
3641,Great Beginnings Notting Hill,Centre-Based Care,NOTTING HILL,3168,120,Meeting NQS,Yes,No,No,No,No,No,No,184
3642,Journey Early Learning Centre - Bendigo South,Centre-Based Care,KANGAROO FLAT,3555,96,Meeting NQS,Yes,No,No,No,No,No,No,142
3643,Camp Australia - Haileybury City Campus OSHC,Centre-Based Care,WEST MELBOURNE,3003,45,Working Towards NQS,No,No,No,Yes,Yes,No,No,185
3644,Mandalay Early Learning Centre,Centre-Based Care,BEVERIDGE,3753,111,Meeting NQS,Yes,No,No,No,No,No,No,162
3645,Our Lady’s Wangaratta Out of School Hours Care Program,Centre-Based Care,WANGARATTA,3677,30,Meeting NQS,No,No,No,Yes,No,No,No,89
3646,Stepping Stones - Marist OSHC,Centre-Based Care,MAIDEN GULLY,3551,45,Meeting NQS,No,No,No,Yes,No,Yes,No,175
3647,Mount Pleasant Road OSHClub,Centre-Based Care,NUNAWADING,3131,75,Meeting NQS,No,No,No,Yes,Yes,Yes,No,172
3648,Youth Leadership Victoria St Bridget's,Centre-Based Care,GREYTHORN,3104,20,Working Towards NQS,No,No,No,Yes,Yes,No,No,167
3649,Story House Early Learning Forest Hill,Centre-Based Care,FOREST HILL,3131,122,Meeting NQS,Yes,No,No,No,No,No,No,93
3650,Mainview Boulevard Kindergarten,Centre-Based Care,TRUGANINA,3029,132,Meeting NQS,No,No,Yes,No,No,No,No,71
3651,AMIGA Montessori Greens Rd Wyndham Vale,Centre-Based Care,WYNDHAM VALE,3024,137,Meeting NQS,Yes,No,No,No,No,No,No,85
3652,AMIGA Montessori Reservoir,Centre-Based Care,RESERVOIR,3073,105,Working Towards NQS,Yes,No,No,No,No,No,No,116
3653,The Learning Sanctuary Yarraville,Centre-Based Care,YARRAVILLE,3013,80,Meeting NQS,Yes,No,No,No,No,No,No,148
3654,The Learning Sanctuary Footscray,Centre-Based Care,FOOTSCRAY,3011,100,Meeting NQS,Yes,No,No,No,No,No,No,190
3655,Great Beginnings Mt Clear,Centre-Based Care,MOUNT CLEAR,3350,126,Working Towards NQS,Yes,No,No,No,No,No,No,122
3656,Happy Feet ELC,Centre-Based Care,MELTON WEST,3337,130,Working Towards NQS,Yes,No,No,Yes,Yes,No,No,186
3657,After The Bell Aus- Bayswater Primary School,Centre-Based Care,BAYSWATER,3153,30,Meeting NQS,No,No,No,Yes,Yes,Yes,No,97
3658,La Petite Ecole - Inkerman Road,Centre-Based Care,CAULFIELD NORTH,3161,30,Working Towards NQS,Yes,No,No,No,No,No,No,105
3659,Youth Leadership Victoria St Pius X,Centre-Based Care,HEIDELBERG WEST,3081,30,Working Towards NQS,No,No,No,Yes,Yes,No,No,107
3660,Youth Leadership Victoria Southern Cross,Centre-Based Care,ENDEAVOUR HILLS,3802,35,Working Towards NQS,No,No,No,Yes,Yes,No,No,56
3661,Buckets Early Learning Centre,Centre-Based Care,BENTLEIGH,3204,144,Meeting NQS,Yes,No,No,No,No,No,No,152
3662,Belgrave South OSHClub,Centre-Based Care,BELGRAVE SOUTH,3160,45,Meeting NQS,No,No,No,Yes,Yes,Yes,No,92
3663,Hilton Street Preschool,Centre-Based Care,CRAIGIEBURN,3064,33,Exceeding NQS,No,No,Yes,No,No,No,No,96
3664,Niño Early Learning Adventures - Malvern East,Centre-Based Care,MALVERN EAST,3145,158,Working Towards NQS,Yes,No,No,No,No,No,No,52
3665,LA GRANDE RECRE,Centre-Based Care,MOORABBIN,3189,20,Working Towards NQS,Yes,No,No,No,No,No,No,85
3666,Ararat Early Learning Centre,Centre-Based Care,ARARAT,3377,92,Working Towards NQS,Yes,No,No,No,No,No,No,156
3667,Leap Ahead Learning,Centre-Based Care,MONTMORENCY,3094,22,Exceeding NQS,No,No,Yes,No,No,No,No,136
3668,Camp Australia - Lalor North Primary School OSHC,Centre-Based Care,LALOR,3075,45,Meeting NQS,No,No,No,Yes,Yes,No,No,68
3669,Kurrambee Myaring Community Centre,Centre-Based Care,TORQUAY,3228,95,Exceeding NQS,No,No,Yes,No,No,No,No,153
3670,Melton Montessori Early Learning Centre,Centre-Based Care,MELTON WEST,3337,120,Working Towards NQS,Yes,No,No,Yes,Yes,No,No,68
3671,Bluebird Early Education Casey Fields,Centre-Based Care,CRANBOURNE EAST,3977,129,Meeting NQS,Yes,No,No,No,No,No,No,181
3672,Nhill Early Learning Centre,Centre-Based Care,NHILL,3418,89,Meeting NQS,Yes,No,Yes,No,No,No,No,198
3673,Amiga Montessori Alamanda,Centre-Based Care,POINT COOK,3030,70,Meeting NQS,Yes,No,No,No,No,No,No,85
3674,Guardian Childcare & Education Mulgrave East,Centre-Based Care,MULGRAVE,3170,110,Meeting NQS,Yes,No,No,No,No,No,No,76
3675,CRANBOURNE ONE EARLY EDUCATION GROUP,Centre-Based Care,CRANBOURNE,3977,125,Meeting NQS,Yes,No,No,No,No,No,No,87
3676,Little Groms Early Learning,Centre-Based Care,TORQUAY,3228,57,Exceeding NQS,Yes,No,No,No,No,No,No,168
3677,St Raphael's PS Preston TheirCare,Centre-Based Care,PRESTON WEST,3072,50,Meeting NQS,No,No,No,Yes,Yes,No,No,101
3678,Kelly Club OSHC St Thomas Aquinas Primary School,Centre-Based Care,NORLANE,3214,30,Working Towards NQS,No,No,No,Yes,No,No,No,186
3679,Shine Early Learning Centre Brooklyn Pty Ltd,Centre-Based Care,BROOKLYN,3012,64,Meeting NQS,Yes,No,No,No,No,No,No,166
3680,Platypus Junction Croydon Pty Ltd,Centre-Based Care,CROYDON,3136,126,Meeting NQS,Yes,No,No,No,No,No,No,135
3681,Mt Martha Kinder@Flinders,Centre-Based Care,MOUNT MARTHA,3934,44,Exceeding NQS,No,No,Yes,No,No,No,No,132
3682,3C Kidz Care - Waverley NWS,Centre-Based Care,NARRE WARREN SOUTH,3805,30,Meeting NQS,No,No,No,Yes,Yes,Yes,No,104
3683,Pj's Early Learning Centre & Kindergarten,Centre-Based Care,PAYNESVILLE,3880,76,Working Towards NQS,Yes,No,No,No,No,No,No,143
3684,Team Holiday - Williamstown,Centre-Based Care,WILLIAMSTOWN,3016,80,Meeting NQS,No,No,No,No,No,Yes,No,143
3685,Altona Early Education Centre,Centre-Based Care,ALTONA,3018,68,Meeting NQS,Yes,No,No,No,No,No,No,143
3686,Green Leaves Early Learning Knox,Centre-Based Care,WANTIRNA SOUTH,3152,124,Meeting NQS,Yes,No,No,No,No,No,No,98
3687,Green Leaves Early Learning Craigieburn,Centre-Based Care,CRAIGIEBURN,3064,124,Meeting NQS,Yes,No,No,No,No,No,No,184
3688,Green Leaves Early Learning Richmond,Centre-Based Care,RICHMOND,3121,121,Working Towards NQS,Yes,No,No,No,No,No,No,55
3689,Little Grasshoppers Early Learning Centre,Centre-Based Care,MOOROODUC,3933,65,Meeting NQS,Yes,No,No,No,No,No,No,170
3690,Starfish Early Learning Centre Clayton South,Centre-Based Care,CLAYTON SOUTH,3169,98,Meeting NQS,Yes,No,No,No,No,No,No,144
3691,Country Way Early Learning,Centre-Based Care,MILDURA,3500,155,Working Towards NQS,Yes,No,No,Yes,Yes,Yes,No,167
3692,KOOL KIDZ RAVENHALL,Centre-Based Care,RAVENHALL,3023,130,Working Towards NQS,Yes,No,No,No,No,Yes,No,53
3693,"Torquay YMCA Early Learning Centre, Torquay Coast YMCA Before and After School Program, Torquay YMCA Holiday Program",Centre-Based Care,TORQUAY,3228,224,Meeting NQS,Yes,No,Yes,Yes,Yes,Yes,No,77
3694,Bambini Centre Road,Centre-Based Care,BRIGHTON EAST,3187,112,Meeting NQS,Yes,No,No,No,No,No,No,112
3695,First Early Learning Frankston South,Centre-Based Care,FRANKSTON SOUTH,3199,102,Meeting NQS,Yes,No,No,No,No,No,No,77
3696,Bannockburn YMCA Before & After School Program & Bannockburn YMCA Holiday Program,Centre-Based Care,BANNOCKBURN,3331,120,Meeting NQS,No,No,No,Yes,Yes,Yes,No,67
3697,Armstrong Creek YMCA Before & After School Program & Armstrong Creek YMCA Holiday Program,Centre-Based Care,ARMSTRONG CREEK,3217,120,Meeting NQS,No,No,No,Yes,Yes,Yes,No,130
3698,Montessori Beginnings,Centre-Based Care,LAVERTON,3028,137,Meeting NQS,Yes,No,No,No,No,No,No,125
3699,JPS Family Day Care,Family Day Care,COBURG,3058,,,No,No,No,No,No,No,No,178
3700,St Catherine's OSHClub Moorabbin,Centre-Based Care,MOORABBIN,3189,25,Meeting NQS,No,No,No,Yes,No,No,No,139
3701,Tooradin Primary School  OSHC,Centre-Based Care,TOORADIN,3980,60,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,65
3702,Busy Bees at Wyndham Vale,Centre-Based Care,WYNDHAM VALE,3024,124,Meeting NQS,Yes,No,No,No,No,No,No,95
3703,Busy Bees at Williams Landing,Centre-Based Care,WILLIAMS LANDING,3027,134,Meeting NQS,Yes,No,No,No,No,No,No,50
3704,Busy Bees at Sandringham,Centre-Based Care,SANDRINGHAM,3191,96,Meeting NQS,Yes,No,No,No,No,No,No,199
3705,KingKids Rowville,Centre-Based Care,ROWVILLE,3178,113,Meeting NQS,Yes,No,No,No,No,No,No,75
3706,Team Holiday - Edithvale,Centre-Based Care,EDITHVALE,3196,80,Meeting NQS,No,No,No,Yes,Yes,Yes,No,141
3707,Orchard Road Community and Early Learning Centre,Centre-Based Care,DOREEN,3752,168,Meeting NQS,Yes,No,Yes,Yes,Yes,No,No,97
3708,Team Holiday - Doncaster East,Centre-Based Care,DONCASTER EAST,3109,162,Meeting NQS,No,No,No,Yes,Yes,Yes,No,84
3709,Connect Kids Early Learning Centre and Kindergarten,Centre-Based Care,KILMORE,3764,120,Meeting NQS,Yes,No,Yes,Yes,Yes,Yes,No,58
3710,Smart Children Early Learning Centre,Centre-Based Care,SPRINGVALE,3171,30,Meeting NQS,Yes,No,No,No,No,No,No,154
3711,Keilor Heights Early Learning Centre,Centre-Based Care,KEILOR EAST,3033,66,Working Towards NQS,Yes,No,No,No,No,No,No,192
3712,Bilingual Montessori Early Learning,Centre-Based Care,CROYDON HILLS,3136,20,Working Towards NQS,Yes,No,Yes,Yes,Yes,No,No,109
3713,Village Early Education Ararat,Centre-Based Care,ARARAT,3377,99,Working Towards NQS,Yes,No,Yes,Yes,Yes,Yes,No,126
3714,Aspire Early Education Pakenham,Centre-Based Care,PAKENHAM,3810,122,Meeting NQS,Yes,No,No,Yes,Yes,No,No,113
3715,Aspire Early Education Cranbourne West,Centre-Based Care,CRANBOURNE WEST,3977,130,Meeting NQS,Yes,No,No,Yes,Yes,No,No,165
3716,Aspire Early Education Berwick Waters,Centre-Based Care,CRANBOURNE NORTH,3977,152,Meeting NQS,Yes,No,No,No,No,No,No,178
3717,Canterbury OSHClub,Centre-Based Care,CANTERBURY,3126,71,Meeting NQS,No,No,No,Yes,Yes,No,No,184
3718,CHILDREN'S CORNER LEARNING CENTRE,Centre-Based Care,CROYDON,3136,65,Meeting NQS,Yes,No,No,No,No,No,No,184
3719,Chelsea Kindergarten,Centre-Based Care,CHELSEA,3196,63,Meeting NQS,No,No,Yes,No,No,No,No,86
3720,Team Holiday - Ashburton,Centre-Based Care,ASHBURTON,3147,125,Meeting NQS,No,No,No,Yes,Yes,Yes,No,72
3721,Sturt Street Early Learning,Centre-Based Care,ALFREDTON,3350,100,Working Towards NQS,Yes,No,No,No,No,No,No,116
3722,In 2 Learn Glengarry,Centre-Based Care,GLENGARRY,3854,24,Meeting NQS,No,No,No,Yes,Yes,Yes,No,50
3723,Paisley Park Early Learning Centre Chadstone,Centre-Based Care,HUGHESDALE,3166,120,Working Towards NQS,Yes,No,No,Yes,Yes,Yes,No,168
3724,Team Holiday - Southern Cross (Etihad Stadium),Centre-Based Care,DOCKLANDS,3008,70,Meeting NQS,No,No,No,No,No,Yes,No,129
3725,Team Holiday - Aspendale Gardens,Centre-Based Care,ASPENDALE GARDENS,3195,80,Meeting NQS,No,No,No,No,No,Yes,No,185
3726,Lynbrook OSHClub,Centre-Based Care,LYNBROOK,3975,100,Meeting NQS,No,No,No,Yes,Yes,Yes,No,187
3727,Little Lane Early Learning Centre - Hawthorn,Centre-Based Care,HAWTHORN,3122,146,Meeting NQS,Yes,No,Yes,Yes,Yes,Yes,No,67
3728,Story House Early Learning Springvale South,Centre-Based Care,SPRINGVALE SOUTH,3172,92,Meeting NQS,Yes,No,No,No,No,No,No,53
3729,Kids on Mullum Child Care Centre,Centre-Based Care,RINGWOOD,3134,118,Meeting NQS,Yes,Yes,No,No,No,No,No,129
3730,Happy Nappy Family Day Care,Family Day Care,MEADOW HEIGHTS,3048,,,No,No,No,No,No,No,No,185
3731,Montessori Beginnings Hoppers Crossing,Centre-Based Care,HOPPERS CROSSING,3029,98,Meeting NQS,Yes,No,No,No,No,No,No,72
3732,Bright Minds Early Learning Centre Bannockburn,Centre-Based Care,BANNOCKBURN,3331,167,Meeting NQS,Yes,No,No,No,No,No,No,183
3733,St John's Catholic School OSHC - Extend,Centre-Based Care,FRANKSTON,3199,35,Meeting NQS,No,No,No,Yes,Yes,No,No,113
3734,Montessori Beginnings Officer,Centre-Based Care,OFFICER,3809,120,Working Towards NQS,Yes,No,No,No,No,No,No,160
3735,Creative Learners Sunshine,Centre-Based Care,SUNSHINE,3020,23,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,82
3736,Montessori Beginnings Mildura,Centre-Based Care,MILDURA,3500,100,Meeting NQS,Yes,No,No,No,No,No,No,84
3737,Kelly Club OSHC St Thomas Primary School,Centre-Based Care,DRYSDALE,3222,45,Meeting NQS,No,No,No,Yes,Yes,Yes,No,188
3738,Plenty Kids Early Learning Centre,Centre-Based Care,DOREEN,3754,44,Working Towards NQS,Yes,Yes,No,No,No,No,No,183
3739,Nido Early School Narre Warren,Centre-Based Care,NARRE WARREN SOUTH,3805,102,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No,135
3740,Guardian Childcare & Education Caulfield North,Centre-Based Care,CAULFIELD NORTH,3161,131,Meeting NQS,Yes,No,No,No,No,No,No,128
3741,DISCOVERY TREE EARLY LEARNING CENTRE,Centre-Based Care,CLAYTON SOUTH,3169,76,Meeting NQS,Yes,No,No,No,No,No,No,105
3742,KOOL KIDZ TARNEIT WEST,Centre-Based Care,TARNEIT,3029,130,Meeting NQS,Yes,No,No,No,No,No,No,95
3743,Rose Garden Child Care Harkaway,Centre-Based Care,BERWICK,3806,74,Meeting NQS,Yes,No,No,No,No,No,No,110
3744,Barring Djinang Kindergarten,Centre-Based Care,SOUTHBANK,3006,44,Exceeding NQS,Yes,Yes,No,No,No,No,Yes,107
3745,Brighthouse Early Learning South Morang,Centre-Based Care,SOUTH MORANG,3752,110,Meeting NQS,Yes,No,No,No,No,No,No,97
3746,Big Childcare - Carlton North PS OSHC,Centre-Based Care,CARLTON NORTH,3054,105,Meeting NQS,No,No,No,No,No,Yes,No,67
3747,Yarragon Children's Centre,Centre-Based Care,YARRAGON,3823,120,Meeting NQS,Yes,No,No,No,No,No,No,156
3748,Almost French - Teaching & Exchange South Yarra,Centre-Based Care,SOUTH YARRA,3141,22,Exceeding NQS,No,No,Yes,No,No,No,No,185
3749,Happy Hippo Kindergarten and Childcare,Centre-Based Care,BRUNSWICK,3056,110,Working Towards NQS,Yes,No,No,No,No,Yes,No,163
3750,Nido Early School Altona Meadows,Centre-Based Care,ALTONA MEADOWS,3028,114,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No,87
3751,Ranfurly Primary School,Centre-Based Care,MILDURA,3500,32,Working Towards NQS,No,No,No,Yes,No,Yes,No,170
3752,Montessori Beginnings Thomastown,Centre-Based Care,THOMASTOWN,3074,115,Meeting NQS,Yes,No,No,No,No,No,No,134
3753,Woodlands Sunbury Pty Ltd,Centre-Based Care,SUNBURY,3429,144,Meeting NQS,Yes,No,No,No,No,No,No,67
3754,Busy Bees at Cranbourne Central,Centre-Based Care,CRANBOURNE,3977,103,Meeting NQS,Yes,No,No,No,No,No,No,82
3755,EPIC Holiday Camps,Centre-Based Care,MORNINGTON,3931,104,Working Towards NQS,No,No,No,No,No,Yes,No,87
3756,Hoppers Crossing Montessori Centre Pty Ltd,Centre-Based Care,HOPPERS CROSSING,3029,120,Meeting NQS,Yes,No,No,No,No,Yes,No,119
3757,Kool Kidz Brighton,Centre-Based Care,GARDENVALE,3185,216,Meeting NQS,Yes,No,No,No,No,No,No,144
3758,Only About Children Northcote,Centre-Based Care,NORTHCOTE,3070,93,Meeting NQS,Yes,No,No,No,No,No,No,132
3759,Only About Children Hawthorn,Centre-Based Care,HAWTHORN,3122,109,Meeting NQS,Yes,No,No,No,No,No,No,67
3760,Kalkee Rd Kindergarten,Centre-Based Care,HORSHAM,3400,93,Meeting NQS,Yes,No,Yes,No,No,No,No,130
3761,Team Holiday - St Kilda Park,Centre-Based Care,ST KILDA,3182,56,Meeting NQS,No,No,No,No,No,Yes,No,61
3762,Livingstone OSHClub,Centre-Based Care,VERMONT SOUTH,3133,106,Meeting NQS,No,No,No,Yes,Yes,Yes,No,133
3763,Precious Cargo Heatherton,Centre-Based Care,HEATHERTON,3202,180,Meeting NQS,Yes,No,Yes,No,No,No,No,178
3764,Team Holiday - Chelsea Heights,Centre-Based Care,CHELSEA HEIGHTS,3196,80,Meeting NQS,No,No,No,No,No,Yes,No,87
3765,Nido Early School Donvale,Centre-Based Care,DONVALE,3111,150,Meeting NQS,Yes,No,No,Yes,Yes,Yes,No,180
3766,Buddies Grange Road,Centre-Based Care,GLEN HUNTLY,3163,84,Meeting NQS,Yes,No,No,No,No,No,No,86
3767,Team Holiday - Mt Eliza North,Centre-Based Care,MOUNT ELIZA,3930,55,Meeting NQS,No,No,No,No,No,Yes,No,174
3768,Whiz Kidz Early Learning Centre and Preschool Delahey,Centre-Based Care,DELAHEY,3037,66,Meeting NQS,Yes,No,No,No,No,No,No,198
3769,Team Holiday - City 570 Bourke Street,Centre-Based Care,MELBOURNE,3000,79,Meeting NQS,No,No,No,No,No,Yes,No,62
3770,Team Holiday - Malvern Valley,Centre-Based Care,MALVERN,3145,80,Meeting NQS,No,No,No,No,No,Yes,No,101
3771,Schools OUT OSHC,Centre-Based Care,BOLINDA,3432,80,Meeting NQS,No,No,No,Yes,Yes,Yes,No,191
3772,Team Holiday - North Carlton,Centre-Based Care,CARLTON NORTH,3054,80,Meeting NQS,No,No,No,No,No,Yes,No,65
3773,The Hive Early Learning Centre,Centre-Based Care,NEWCOMB,3219,125,Meeting NQS,Yes,No,Yes,Yes,Yes,No,No,96
3774,Kelly Club OSHC Christ the King Primary School,Centre-Based Care,BRAYBROOK,3019,30,Meeting NQS,No,No,No,Yes,Yes,Yes,No,89
3775,Next Steps Early Learning Centre,Centre-Based Care,WAURN PONDS,3216,156,Working Towards NQS,Yes,No,No,No,No,No,No,119
3776,Green Leaves Early Learning Cairnlea,Centre-Based Care,CAIRNLEA,3023,116,Meeting NQS,Yes,No,No,No,No,No,No,66
3777,Almost French - Teaching & Exchange Port Melbourne,Centre-Based Care,PORT MELBOURNE,3207,18,Exceeding NQS,No,No,Yes,No,No,No,No,145
3778,FIRST IDEA FAMILY DAY CARE SERVICES,Family Day Care,EUMEMMERRING,3177,,,No,No,No,No,No,No,No,59
3779,Coburg Children's Centre Inc.,Centre-Based Care,COBURG,3058,120,Exceeding NQS,Yes,No,Yes,No,No,No,No,107
3780,Busy Bees at Cranbourne,Centre-Based Care,CRANBOURNE,3977,100,Meeting NQS,Yes,No,No,No,No,No,No,52
3781,Brady Bunch  Early Learning Centre Ballarat,Centre-Based Care,SEBASTOPOL,3356,110,Working Towards NQS,Yes,No,No,No,No,No,No,174
3782,Guardian Childcare & Education Laurimar,Centre-Based Care,DOREEN,3754,152,Working Towards NQS,Yes,No,No,No,No,No,No,131
3783,Childs Play Torquay,Centre-Based Care,TORQUAY,3228,141,Meeting NQS,Yes,No,No,No,No,No,No,148
3784,Platypus Junction Langwarrin Pty Ltd,Centre-Based Care,LANGWARRIN,3910,142,Meeting NQS,Yes,No,No,No,No,No,No,103
3785,Carrum PS TheirCare,Centre-Based Care,CARRUM,3197,60,Meeting NQS,No,No,No,Yes,Yes,Yes,No,115
3786,Play & Grow Early Learning Pty Ltd,Centre-Based Care,MELTON,3337,103,Working Towards NQS,Yes,No,No,No,No,No,No,59
3787,Bridgewood Integrated Child and Family Centre,Centre-Based Care,OFFICER,3809,99,Meeting NQS,No,Yes,No,No,No,No,No,58
3788,Eastwood Early Learning Centre and Kindergarten,Centre-Based Care,EASTWOOD,3875,80,Meeting NQS,Yes,No,No,No,No,No,No,189
3789,Starfish Early Learning Centre (Reservoir),Centre-Based Care,RESERVOIR,3073,116,Meeting NQS,Yes,No,No,No,No,No,No,80
3790,Green Leaves Early Learning Wendouree,Centre-Based Care,WENDOUREE,3355,108,Working Towards NQS,Yes,No,No,No,No,No,No,113
3791,Kool Kidz West Cranbourne,Centre-Based Care,CRANBOURNE WEST,3977,130,Meeting NQS,Yes,No,No,No,No,No,No,100
3792,Elements Child Care and Early Learning Centre Torquay,Centre-Based Care,TORQUAY,3228,114,Exceeding NQS,Yes,No,No,No,No,No,No,142
3793,LILI'S EARLY LEARNING,Centre-Based Care,HOPPERS CROSSING,3029,200,Meeting NQS,Yes,No,No,No,No,No,No,120
3794,Mansfield Community Cubby House OSHC,Centre-Based Care,MANSFIELD,3722,30,Working Towards NQS,No,No,No,Yes,Yes,Yes,No,160
3795,Youth Leadership Victoria Carwatha College,Centre-Based Care,NOBLE PARK NORTH,3174,20,Meeting NQS,No,No,No,Yes,Yes,No,No,124
3796,Canterbury Rd Childcare Centre and Kindergarten,Centre-Based Care,SURREY HILLS,3127,92,Meeting NQS,Yes,No,No,No,No,No,No,61
3797,Cardinia Lakes Early Learning Centre,Centre-Based Care,PAKENHAM,3810,120,Meeting NQS,Yes,No,No,No,No,Yes,No,171
3798,Kool Kidz Merrifield,Centre-Based Care,MICKLEHAM,3064,168,Meeting NQS,Yes,No,No,No,No,No,No,70
3799,St John's College (Preston) OSHC - Extend,Centre-Based Care,WEST PRESTON,3072,30,Meeting NQS,No,No,No,Yes,No,No,No,93
3800,In 2 Learn South Street,Centre-Based Care,MOE,3825,24,Working Towards NQS,No,No,No,Yes,No,No,No,186
3801,The Loop,Centre-Based Care,KYABRAM,3620,60,Exceeding NQS,No,No,No,Yes,Yes,Yes,No,99
3802,Mildura Family Day Care,Family Day Care,MILDURA,3500,,,No,No,No,No,No,No,No,102
3803,EXPLORERS EARLY LEARNING - BRIGHTON EAST,Centre-Based Care,BRIGHTON EAST,3187,154,Meeting NQS,Yes,No,No,No,No,No,No,189
3804,Happy Hippo Childcare Lovely Banks,Centre-Based Care,LOVELY BANKS,3213,130,Working Towards NQS,Yes,No,No,No,No,No,No,91
3805,Clever Connection family day care,Family Day Care,TRUGANINA,3029,,,No,No,No,No,No,No,No,119
